,Neff,NumMSA,Target
317,1522,6707,6I6H_A
318,2296,6688,6NVP_A
319,1,3,6DS9_A
320,4700,12642,6T85_A
321,339,1181,6NTT_A
322,12,23,6RRV_A
323,6785,12902,6ZE6_A
324,1785,3287,6JU8_A
325,514,1253,6P78_A
326,363,2662,7KIH_A
327,8320,9413,6P61_A
328,1390,5705,6LG2_A
329,5431,7900,6SRT_A
330,6689,11960,5ZVE_B
331,121,1111,7LCZ_A
332,5955,10450,6XOD_A
333,6,23,6RO0_B
334,6561,11245,6G71_A
335,4260,6504,7M97_A
336,146,257,7KCG_A
337,4313,10085,6GIT_A
338,351,640,6N1F_A
339,405,2182,6SL6_A
340,623,1342,6XCQ_A
341,164,265,6W40_A
342,2770,8485,7CT4_A
343,2805,7798,6CEQ_A
344,264,2278,6IW3_A
345,1522,3045,6E60_A
346,304,460,5Z6V_A
347,1005,5422,6H7B_A
348,5734,8788,5ZQA_A
349,61,146,5Y24_A
350,137,218,6SCF_A
351,907,2880,7B2S_A
352,5785,10928,6GYT_A
353,1445,7350,6HIU_B
354,40,119,6GUS_A
355,1538,4827,6IN9_A
356,1561,2853,5ZM4_A
357,678,1454,5YI6_A
358,1126,2800,6GJE_A
359,566,1824,7BK8_A
360,4660,8356,6SRN_A
361,6239,10911,7NUU_A
362,635,4555,6KZ7_B
363,5309,8358,6Y24_A
364,47,597,7JOO_C
365,112,793,6S9T_A
366,1386,3001,6X6B_A
367,557,2372,7CUP_A
368,1972,5208,6DNZ_B
369,6355,9271,6ILS_A
370,4128,6264,6T0Q_A
371,2656,7649,7D86_A
372,51,213,6D2C_A
373,10,16,6NNW_A
374,1186,2425,6SUL_A
375,2282,5145,6L33_A
376,290,1262,6JCN_A
377,1129,3903,6XAU_A
378,7746,12667,6UWA_A
379,1135,4151,6D85_B
380,4106,11624,6M4E_A
381,678,1800,6GZB_A
382,539,1804,7LQX_A
383,157,981,6QWT_A
384,2236,4919,6DGG_A
385,5693,7614,6HCI_A
386,701,2649,6LK7_A
387,1374,5076,6LPV_A
388,2724,4961,7LKN_A
389,724,4140,6P28_A
390,5530,7360,6H21_C
391,375,806,6ZPA_A
392,1574,2867,6TNJ_A
393,92,152,6OH6_A
394,447,1920,6P0Q_A
395,3273,9234,6MGH_A
396,421,1550,6K2F_A
397,10441,15525,6WJA_A
398,1009,3150,7CUZ_A
399,730,2496,6SU3_X
400,882,2802,6GZ8_A
401,3178,10093,6Y7F_A
402,6928,8928,6CJ7_A
403,415,1417,6P20_D
404,2664,6305,5Y30_A
405,1428,3298,6T5K_C
406,3950,9830,6UUK_A
407,1546,12323,6SJ5_C
408,664,3246,7C6C_A
409,395,770,7AKY_A
410,2261,8265,6BS3_B
411,3049,7558,7OEZ_A
412,25,68,7KJH_C
413,52,340,6QTA_B
414,1411,3246,6SM4_A
415,262,683,6IJE_B
416,5650,9963,6A0W_A
417,9961,15886,6JMY_A
418,182,659,6EWP_A
419,6147,15201,6DTK_A
420,5215,11307,7P41_D
421,33,47,5MLP_A
422,1082,2518,6PAL_A
423,314,1231,6SJ8_A
424,343,1760,7CCE_A
425,2297,5580,6KXT_A
426,4245,10294,6B9V_A
427,933,3023,6S0P_A
428,13402,16516,6EIB_A
429,1836,4820,6F3Z_B
430,1323,8297,6DDN_A
431,7269,12518,6L8H_A
432,2503,7780,6OH9_A
433,6,120,5YSI_A
434,1597,6379,6K88_A
435,2231,5767,6F43_B
436,855,2564,6QSP_B
437,3538,6806,6KXF_C
438,1254,2960,7KPT_A
439,22,97,6PX4_T
440,538,3546,6ERY_B
441,8449,12377,6KD7_A
442,847,3196,6LHY_A
443,1267,5604,6LIR_B
444,2655,5549,7DC3_A
445,740,1807,6R3R_A
446,3129,10316,6HBS_A
447,895,2040,6IS0_A
448,1249,5203,6C7Y_B
449,7440,9504,6AK2_A
450,2025,5617,5OC0_A
451,1222,3922,6NY9_B
452,48,151,6H3W_A
453,6037,11794,6FV4_A
454,6053,10701,7K0A_A
455,4722,11841,6JC0_B
456,4404,8841,6QQM_A
457,83,244,6SJQ_A
458,878,2089,6Q1H_C
459,571,2314,6HCE_A
460,14,19,6N0S_A
461,4948,12229,5WCH_A
462,3376,8504,6EDE_A
463,2123,4192,6QUP_A
464,2268,7301,6UB0_A
465,170,345,6V98_A
466,6037,9236,6VTV_A
467,326,1113,6EFC_A
468,58,214,6DGA_A
469,4570,7525,7B21_AAA
470,107,614,6IY4_I
471,154,264,5Y72_A
472,4273,9298,6HRG_A
473,652,1026,7N51_A
474,297,589,5Z6D_A
475,1318,7109,6I9K_A
476,4658,13311,7L2A_A
477,2061,4101,7JW2_A
478,2028,7062,6WG4_A
479,1378,6123,7DM9_A
480,513,4287,6XGT_E
481,5145,14154,6JNM_A
482,540,2614,6UIO_A
483,94,172,6HHK_A
484,23,625,7C53_A
485,1690,5494,6TM6_A
486,9143,15817,6S20_C
487,94,569,6KIA_A
488,5034,7936,6BA9_A
489,1528,4506,6EDM_A
490,1861,3421,7MGV_A
491,2420,7508,6HLY_A
492,2064,7194,6M09_A
493,4086,12218,6XJE_A
494,1921,10537,6XIG_A
495,3,7,6W2Q_A
496,1148,2363,6CPB_A
497,6099,7788,6X23_A
498,3368,8601,6E3A_A
499,2656,4810,6R6U_A
